,ags2,ags5,kreis,households_of_1_person,households_of_2_person,households_of_3_person,households_of_4_person,households_of_5_person_or_more,household_with_kids,household_with_kids_under_3,household_with_kids_over_3_under_6,household_with_kids_over_6_under_10,household_with_kids_over_10_under_15,household_with_kids_over_15_under_18,household_with_double_income_no_kids
268,09,09462,Bayreuth,19976,13219,3858,3305,440,7927,1340,1169,1531,2226,1212,4215
269,09,09463,Coburg,10051,9019,1894,1604,132,3988,701,638,848,1020,666,2777
270,09,09464,Hof,11932,8924,2307,1965,184,4826,860,848,1003,1112,805,2791
271,09,09471,Bamberg,19249,30806,11026,6971,1040,18067,2917,2920,3766,4738,2821,9609
272,09,09472,Bayreuth,12507,23424,8290,3991,686,11349,1536,1693,2416,3177,1753,6208
273,09,09473,Coburg,11467,20326,6004,3628,451,9536,1426,1501,1918,2614,1508,5848
274,09,09474,Forchheim,14160,25024,8528,5379,929,14060,2183,2344,2972,3678,2205,7400
275,09,09475,Hof,12976,25032,6267,2845,409,8174,1088,1176,1658,2346,1379,5988
276,09,09476,Kronach,8703,18081,4417,1951,227,5835,780,850,1239,1647,930,4660
277,09,09477,Kulmbach,9743,17126,5336,2474,383,7331,1033,981,1481,2130,1208,4610
278,09,09478,Lichtenfels,8709,15352,5063,2489,440,7391,1103,1139,1612,1911,1156,4394
279,09,09479,Wunsiedel i.Fichtelgebirge,12244,18612,4265,2338,301,6315,960,944,1319,1741,1089,4675
280,09,09561,Ansbach,9663,8657,2229,1797,163,4446,827,768,929,1085,711,2755
281,09,09562,Erlangen,33166,19897,5459,4468,609,11265,2148,2015,2357,2729,1721,6477
282,09,09563,Fürth,30296,21557,7637,6150,1268,16403,3109,2801,3279,4196,2546,7514
283,09,09564,Nürnberg,135760,90333,27043,22557,5504,62159,11729,10467,12837,16326,9366,30584
284,09,09565,Schwabach,6887,8542,2696,1826,284,4975,826,807,1023,1311,802,2620
285,09,09571,Ansbach,19531,35923,18351,7016,1853,24179,3616,3589,4972,6650,3480,10562
286,09,09572,Erlangen-Höchstadt,16098,30452,10111,5654,1209,16625,2727,2883,3602,4128,2578,9162
287,09,09573,Fürth,17081,25910,8436,4857,747,13940,2349,2408,2961,3416,2159,7883
288,09,09574,Nürnberger Land,22338,38485,12330,6850,1280,19868,3087,3244,4200,5282,3072,11271
289,09,09575,Neustadt a.d.Aisch-Bad Windsheim,11400,21306,8838,3856,831,12153,1739,1885,2476,3391,1877,6140
290,09,09576,Roth,13145,27546,10787,5283,1011,15872,2529,2483,3264,4126,2443,7843
291,09,09577,Weißenburg-Gunzenhausen,11191,19343,8232,3803,896,12023,1838,1763,2391,3286,1885,5743
292,09,09661,Aschaffenburg,19361,12218,3793,3396,344,8352,1464,1333,1772,2262,1318,4238
293,09,09662,Schweinfurt,12686,9910,2849,2618,450,6480,1194,1056,1350,1744,962,3220
294,09,09663,Würzburg,43463,21931,6214,4230,665,12106,2458,2118,2311,2834,1761,7546
295,09,09671,Aschaffenburg,26664,39738,11485,7298,827,19126,3126,3119,3966,4921,3179,12347
296,09,09672,Bad Kissingen,15761,23021,7664,3938,528,11406,1627,1755,2319,3096,1824,6551
297,09,09673,Rhön-Grabfeld,8760,17320,6623,3103,779,9669,1425,1460,1991,2721,1461,4883
298,09,09674,Haßberge,9623,19454,6776,3271,522,9785,1466,1552,2035,2579,1523,5539
299,09,09675,Kitzingen,11131,18617,7310,4161,785,11723,1792,1812,2307,3217,1812,5562
300,09,09676,Miltenberg,18338,28410,8789,5863,748,15151,2357,2428,3178,3909,2535,8763
301,09,09677,Main-Spessart,15409,30295,9098,4831,738,13937,2147,2162,2894,3672,2222,9120
302,09,09678,Schweinfurt,13764,25273,9184,4712,873,14085,2224,2304,2959,3647,2147,7488
303,09,09679,Würzburg,22880,35860,11944,6599,995,19129,3085,3216,3945,4890,3063,10877
304,09,09761,Augsburg,80289,48641,16489,12982,2793,36108,6788,5974,7144,9492,5545,17095
305,09,09762,Kaufbeuren,8447,8690,2877,1971,298,5444,893,838,1076,1518,868,2763
306,09,09763,Kempten (Allgäu),16576,11559,4057,3325,707,8214,1504,1266,1574,2269,1308,3897
307,09,09764,Memmingen,7941,8135,3264,1973,375,5730,977,877,1153,1544,903,2676
308,09,09771,Aichach-Friedberg,14139,27715,12359,5320,1101,17629,2912,2882,3760,4490,2683,8352
309,09,09772,Augsburg,29673,56197,19969,9769,2016,31186,5047,5113,6527,8175,5075,16607
310,09,09773,Dillingen a.d.Donau,7491,20684,10125,3044,906,13027,1924,1956,2640,3553,1987,5795
311,09,09774,Günzburg,12181,27471,11038,5118,984,15838,2342,2404,3268,4207,2473,7887
312,09,09775,Neu-Ulm,25887,36857,12609,7315,1432,21201,3506,3357,4492,5498,3426,11228
313,09,09776,Lindau (Bodensee),16872,15771,5017,3769,601,8678,1277,1318,1792,2457,1520,4467
314,09,09777,Ostallgäu,19810,29210,12145,5036,1087,16480,2526,2556,3253,4667,2488,7926
315,09,09778,Unterallgäu,14753,30319,14266,4828,1278,18415,2774,2817,3713,5127,2734,8303
316,09,09779,Donau-Ries,13359,27313,13196,4966,1190,18126,2662,2754,3767,4922,2679,8064
317,09,09780,Oberallgäu,31855,28417,10510,7020,1345,16961,2620,2660,3451,4900,2613,7955
318,10,10041,Regionalverband Saarbrücken,79379,56909,27541,10444,2226,38434,6367,6050,7795,9322,5894,17673
319,10,10042,Landkreis Merzig-Wadern,10934,24961,8700,2964,804,11215,1589,1655,2289,2986,1779,6775
320,10,10043,Landkreis Neunkirchen,23178,28607,11960,3137,671,14657,2174,2230,2763,3409,2207,8610
321,10,10044,Landkreis Saarlouis,30174,44800,16170,5222,1126,21112,3085,3376,4244,5275,3373,13129
322,10,10045,Saarpfalz-Kreis,22874,34576,11214,3303,723,14052,2039,2154,2823,3574,2208,10014
323,10,10046,Landkreis St. Wendel,12685,21363,7484,2104,217,8630,1033,1272,1741,2241,1289,6061
324,11,11000,Berlin,988735,559872,211995,153462,51944,436586,84231,77886,94946,108911,59983,207267
325,12,12051,Brandenburg an der Havel,20281,13931,2861,3226,445,7229,1221,1258,1576,1764,1000,4411
326,12,12052,Cottbus,28799,16931,4861,4124,921,10286,1776,1774,2284,2535,1448,5636
327,12,12053,Frankfurt (Oder),14592,10090,3040,2712,603,6636,1017,1020,1439,1765,966,3355
328,12,12054,Potsdam,45392,26100,10159,8910,2679,22011,4049,3750,4930,5624,2911,9215
329,12,12060,Barnim,26576,43354,12087,6553,1325,19579,2986,3186,4482,5053,2929,12222
330,12,12061,Dahme-Spreewald,22948,40776,11526,5708,1279,17251,2796,2924,3761,4310,2534,11310
331,12,12062,Elbe-Elster,16247,26235,6041,3331,464,9290,1398,1439,1964,2510,1433,6789
332,12,12063,Havelland,21148,36452,12850,5995,985,19400,2777,3108,4278,4961,3075,10753
333,12,12064,Märkisch-Oderland,26456,48266,13087,6190,1396,19314,2891,3216,4370,4928,2918,13312
334,12,12065,Oberhavel,30582,51264,13990,7511,1188,22650,3285,3685,4935,5949,3762,14636
335,12,12066,Oberspreewald-Lausitz,21833,25316,5673,4487,593,10634,1592,1676,2332,2700,1518,6922
336,12,12067,Oder-Spree,31977,44227,9346,6042,1110,16424,2608,2655,3630,4167,2525,11827
337,12,12068,Ostprignitz-Ruppin,19417,24544,4853,3372,489,8673,1312,1428,1890,2282,1316,6609
338,12,12069,Potsdam-Mittelmark,22191,44756,20502,7914,1785,28079,3827,4264,6167,7513,4398,13093
339,12,12070,Prignitz,21115,20035,2865,1516,119,4328,627,678,909,1114,738,4755
340,12,12071,Spree-Neiße,20312,27760,6364,4140,562,10137,1439,1644,2217,2718,1448,7142
341,12,12072,Teltow-Fläming,24301,36158,13206,6538,1135,20037,3182,3233,4317,4960,2995,10692
342,12,12073,Uckermark,25822,27436,5654,4451,785,11038,1571,1764,2354,2978,1732,6989
343,13,13003,"Rostock, Hansestadt",60888,35530,11279,7195,2615,24115,4411,4159,5156,5916,3297,12638
344,13,13004,"Schwerin, Landeshauptstadt",27209,17656,4324,3912,931,10887,1852,1863,2358,2790,1633,6012
345,13,13071,Mecklenburgische Seenplatte,50511,60220,14365,8809,1819,25002,3612,4041,5454,6687,3889,15420
346,13,13072,Landkreis Rostock,31223,47084,16921,7643,1580,23801,3447,3892,5291,6031,3398,12018
347,13,13073,Vorpommern-Rügen,49410,52727,11843,6525,1593,19298,2799,3120,4421,5061,2916,13145
348,13,13074,Nordwestmecklenburg,29028,36254,10040,5045,936,15566,2268,2474,3419,3947,2441,9264
349,13,13075,Vorpommern-Greifswald,46903,57371,11746,7637,1697,20354,3164,3300,4475,5267,3040,14026
350,13,13076,Ludwigslust-Parchim,31814,52258,13467,7125,1380,20062,2951,3261,4434,5094,3067,13471
351,14,14511,Chemnitz,78577,40648,10768,10708,2032,25676,4716,4485,5499,6084,3707,13692
352,14,14521,Erzgebirgskreis,71427,66065,19001,16625,2038,36633,5378,5908,8173,9804,5310,19294
353,14,14522,Mittelsachsen,60111,61404,17925,14274,2263,31435,4651,5111,7095,8288,4594,16930
354,14,14523,Vogtlandkreis,51068,51230,11642,8411,1072,20716,3075,3304,4553,5538,3141,13747
355,14,14524,Zwickau,72152,64509,15966,14719,1646,33066,5073,5481,7231,8526,4943,19111
356,14,14612,Dresden,148998,86105,30604,25390,7093,65608,12482,11982,14881,16269,8237,30716
357,14,14625,Bautzen,50321,61191,20914,12799,2580,33735,4966,5549,7400,8788,4786,16612
358,14,14626,Görlitz,51997,58609,13608,9277,1396,23219,3254,3732,5052,6436,3364,14089
359,14,14627,Meißen,47216,50879,13416,11014,1640,25716,3772,4288,5750,6610,3942,14657
360,14,14628,Sächsische Schweiz-Osterzgebirge,46662,48361,15355,11465,1998,27407,4097,4489,6130,7314,3936,13775
361,14,14713,Leipzig,172942,88960,33021,24594,6993,67165,13390,12408,14428,15811,8014,32753
362,14,14729,Leipzig,44902,56663,15412,11197,1608,27784,4215,4556,6105,7195,4221,16319
363,14,14730,Nordsachsen,36531,44783,11044,8241,1053,20173,3131,3384,4452,5180,3055,12658
364,15,15001,Dessau-Roßlau,19947,18505,3525,2947,377,7413,1171,1181,1592,1827,1137,5107
365,15,15002,Halle (Saale),70120,38100,12014,10449,2631,27221,4960,4570,5940,6901,3707,13349
366,15,15003,Magdeburg,65994,39233,13731,10162,2188,27221,4941,4636,5845,6772,3642,13369
367,15,15081,Altmarkkreis Salzwedel,10296,19159,6110,3399,613,9045,1264,1476,1958,2370,1343,5191
368,15,15082,Anhalt-Bitterfeld,31711,41030,7227,5039,710,12740,1875,2056,2734,3239,1997,10437
369,15,15083,Börde,22692,44533,10310,6116,894,16477,2400,2767,3584,4348,2408,12340
370,15,15084,Burgenlandkreis,36626,40161,9496,7354,1016,17452,2645,2830,3736,4625,2514,11194
371,15,15085,Harz,44481,53461,9722,7458,762,17949,2583,2893,3889,4768,2964,14632
372,15,15086,Jerichower Land,12397,21709,5881,3309,563,9111,1383,1567,1954,2191,1411,5838
373,15,15087,Mansfeld-Südharz,21885,38594,6191,4075,431,10420,1438,1658,2302,2690,1727,8972
374,15,15088,Saalekreis,30308,48334,9190,6536,684,16416,2472,2728,3613,4251,2508,12670
375,15,15089,Salzlandkreis,35977,48964,8639,6719,756,16599,2473,2702,3547,4273,2629,12804
376,15,15090,Stendal,18162,27098,6497,4076,713,10710,1527,1687,2370,2834,1673,6870
377,15,15091,Wittenberg,20719,33743,6082,4158,534,10115,1453,1606,2164,2724,1582,8275
378,16,16051,Erfurt,58092,29427,14098,9146,3222,26807,4759,4584,5800,6755,3571,10056
379,16,16052,Gera,28990,13837,5919,3681,931,10514,1704,1708,2304,2727,1461,4625
380,16,16053,Jena,30015,16909,6734,4989,1383,12778,2311,2273,2808,3180,1680,5733
381,16,16054,Suhl,10393,6865,1886,997,201,3116,462,563,644,753,468,1978
382,16,16055,Weimar,16226,10256,3821,3218,752,7884,1302,1303,1785,2106,1118,3323
383,16,16056,Eisenach,11230,6311,2745,2143,341,5129,820,805,1058,1399,759,2123
384,16,16061,Eichsfeld,14064,16622,10020,4350,1113,14342,2173,2266,3127,3653,1983,5186
385,16,16062,Nordhausen,18142,18426,4743,2894,568,7908,1234,1365,1726,1989,1227,5081
386,16,16063,Wartburgkreis,17466,26321,9413,4864,968,14026,2019,2414,3097,3554,1971,7630
387,16,16064,Unstrut-Hainich-Kreis,16832,21742,7540,3937,833,11792,1816,1932,2552,3065,1721,6308
388,16,16065,Kyffhäuserkreis,11842,19919,4220,2184,380,6459,955,1070,1409,1683,1019,4875
389,16,16066,Schmalkalden-Meiningen,21556,28123,8282,3886,685,11769,1750,2060,2590,3023,1582,7732
390,16,16067,Gotha,26968,26861,8835,5584,1129,15226,2354,2475,3270,3939,2308,7939
391,16,16068,Sömmerda,9714,15356,5269,2555,632,8110,1208,1276,1752,2117,1179,4256
392,16,16069,Hildburghausen,8065,12775,5362,2714,574,7633,1060,1155,1727,1990,938,3455
393,16,16070,Ilm-Kreis,25935,21629,6605,3888,774,10868,1659,1853,2306,2806,1488,6298
394,16,16071,Weimarer Land,12229,16937,6302,3194,734,9474,1341,1586,2163,2374,1298,4687
395,16,16072,Sonneberg,10431,12389,3878,1899,331,5506,763,879,1140,1442,874,3534
396,16,16073,Saalfeld-Rudolstadt,23337,22553,6558,3658,692,10132,1553,1659,2239,2434,1526,6329
397,16,16074,Saale-Holzland-Kreis,12729,16264,6573,3542,761,9855,1458,1626,2174,2414,1451,4546
398,16,16075,Saale-Orla-Kreis,14015,18458,5379,2723,568,7782,1133,1246,1722,2003,1120,4793
399,16,16076,Greiz,19192,21603,6498,3345,567,9263,1187,1573,1965,2412,1386,5744
400,16,16077,Altenburger Land,20139,18574,5201,3604,557,8388,1223,1303,1839,2225,1272,4839
